TIME,Value
1977-Q1,33.303947
1977-Q2,33.414334
1977-Q3,33.822297
1977-Q4,33.559353
1978-Q1,33.156765
1978-Q2,33.175032
1978-Q3,34.521287
1978-Q4,34.050412
1979-Q1,33.588929
1979-Q2,33.55335
1979-Q3,34.954204
1979-Q4,34.745489
1980-Q1,34.391399
1980-Q2,34.389835
1980-Q3,35.843966
1980-Q4,35.872202
1981-Q1,35.087134
1981-Q2,34.635751
1981-Q3,35.679169
1981-Q4,35.472718
1982-Q1,34.857992
1982-Q2,34.644757
1982-Q3,35.923438
1982-Q4,35.624537
1983-Q1,34.939748
1983-Q2,35.180152
1983-Q3,36.045554
1983-Q4,35.724853
1984-Q1,35.285134
1984-Q2,34.946332
1984-Q3,36.088853
1984-Q4,35.930268
1985-Q1,35.069843
1985-Q2,35.109198
1985-Q3,36.331533
1985-Q4,36.081624
1986-Q1,35.784999
1986-Q2,35.615356
1986-Q3,36.595039
1986-Q4,36.646862
1987-Q1,36.502932
1987-Q2,36.282323
1987-Q3,37.229326
1987-Q4,37.033975
1988-Q1,36.879119
1988-Q2,37.034838
1988-Q3,37.891157
1988-Q4,37.579138
1989-Q1,37.342227
1989-Q2,37.697583
1989-Q3,38.282557
1989-Q4,38.229149
1990-Q1,38.055162
1990-Q2,38.253349
1990-Q3,39.227032
1990-Q4,38.898731
1991-Q1,38.314732
1991-Q2,38.610812
1991-Q3,39.217683
1991-Q4,38.849363
1992-Q1,38.34017
1992-Q2,38.829538
1992-Q3,39.20889
1992-Q4,39.345092
1993-Q1,38.468836
1993-Q2,38.419745
1993-Q3,38.640375
1993-Q4,38.436058
1994-Q1,37.3759
1994-Q2,38.431233
1994-Q3,38.789548
1994-Q4,37.84866
1995-Q1,37.333488
1995-Q2,38.375943
1995-Q3,38.772341
1995-Q4,38.370481
1996-Q1,38.021316
1996-Q2,38.888332
1996-Q3,39.370264
1996-Q4,39.046172
1997-Q1,38.499948
1997-Q2,39.304504
1997-Q3,39.674805
1997-Q4,39.287556
1998-Q1,39.122725
1998-Q2,39.985374
1998-Q3,40.622496
1998-Q4,40.706863
1999-Q1,40.383729
1999-Q2,41.018186
1999-Q3,41.642397
1999-Q4,41.637115
2000-Q1,41.253941
2000-Q2,42.2229
2000-Q3,43.059703
2000-Q4,43.366802
2001-Q1,43.271757
2001-Q2,43.866482
2001-Q3,44.478005
2001-Q4,44.484424
2002-Q1,44.404069
2002-Q2,44.785334
2002-Q3,45.319674
2002-Q4,45.240613
2003-Q1,44.349916
2003-Q2,44.933957
2003-Q3,45.414439
2003-Q4,46.058283
2004-Q1,44.884344
2004-Q2,45.43051
2004-Q3,45.528264
2004-Q4,45.985308
2005-Q1,45.196915
2005-Q2,45.544175
2005-Q3,44.9583
2005-Q4,45.771916
2006-Q1,45.872104
2006-Q2,46.675743
2006-Q3,46.145697
2006-Q4,46.692612
2007-Q1,45.93139
2007-Q2,46.737954
2007-Q3,46.878836
2007-Q4,47.00091
2008-Q1,46.918257
2008-Q2,47.564886
2008-Q3,47.251516
2008-Q4,47.181837
2009-Q1,46.321509
2009-Q2,46.910771
2009-Q3,46.083363
2009-Q4,46.142904
2010-Q1,45.72638
2010-Q2,46.4941
2010-Q3,45.861388
2010-Q4,46.448593
2011-Q1,46.422585
2011-Q2,46.714545
2011-Q3,46.057867
2011-Q4,46.798189
2012-Q1,46.82741
2012-Q2,47.510625
2012-Q3,46.856858
2012-Q4,47.100706
2013-Q1,46.454521
2013-Q2,46.663466
2013-Q3,46.239903
2013-Q4,46.718504
2014-Q1,46.480757
2014-Q2,46.830015
2014-Q3,46.790612
2014-Q4,47.176021
2015-Q1,46.82561
2015-Q2,47.358589
2015-Q3,47.032003
2015-Q4,47.458635
2016-Q1,47.322124
2016-Q2,48.479749
2016-Q3,48.204716
2016-Q4,48.290115
2017-Q1,48.243873
2017-Q2,49.126236
2017-Q3,49.056358
2017-Q4,49.235361
2018-Q1,48.850437
2018-Q2,50.154192
2018-Q3,49.357981
2018-Q4,49.588533
2019-Q1,49.606834
2019-Q2,50.659133
2019-Q3,50.084712
